date,meantempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2015/1/14,-2,-12,-13,-5,-18,-17,-11,1037,1040,1024,87,87,96,40,45,47,-4,-7,3,-20,-19,-13,-14,-13,-7,-23,-21,-14,1043,1044,1031,1032,1032,1021,0,0,0
2015/1/15,1,-2,-12,-13,-8,-18,-17,1026,1037,1040,84,87,87,51,40,45,4,-4,-7,-9,-20,-19,-4,-14,-13,-15,-23,-21,1030,1043,1044,1023,1032,1032,0,0,0
2015/1/16,4,1,-2,-12,-6,-8,-18,1023,1026,1037,91,84,87,45,51,40,9,4,-4,-9,-9,-20,-2,-4,-14,-10,-15,-23,1024,1030,1043,1021,1023,1032,0,0,0
2015/1/17,7,4,1,-2,-4,-6,-8,1014,1023,1026,96,91,84,30,45,51,15,9,4,-7,-9,-9,-2,-2,-4,-7,-10,-15,1022,1024,1030,1008,1021,1023,0,0,0
2015/1/18,4,7,4,1,-3,-4,-6,1012,1014,1023,65,96,91,32,30,45,12,15,9,3,-7,-9,1,-2,-2,-5,-7,-10,1016,1022,1024,1006,1008,1021,0,0,0
2015/1/19,5,4,7,4,-4,-3,-4,1015,1012,1014,85,65,96,25,32,30,14,12,15,-6,3,-7,-2,1,-2,-7,-5,-7,1017,1016,1022,1012,1006,1008,0,0,0
2015/1/20,4,5,4,7,-3,-4,-3,1015,1015,1012,84,85,65,33,25,32,16,14,12,-6,-6,3,1,-2,1,-6,-7,-5,1017,1017,1016,1013,1012,1006,0,0,0
2015/1/21,2,4,5,4,-3,-3,-4,1018,1015,1015,78,84,85,38,33,25,11,16,14,-3,-6,-6,-2,1,-2,-5,-6,-7,1020,1017,1017,1016,1013,1012,0,0,0
2015/1/22,-1,2,4,5,-3,-3,-3,1025,1018,1015,85,78,84,45,38,33,8,11,16,-5,-3,-6,-2,-2,1,-5,-5,-6,1030,1020,1017,1021,1016,1013,0,0,0
2015/1/23,1,-1,2,4,-5,-3,-3,1031,1025,1018,85,85,78,59,45,38,4,8,11,-6,-5,-3,-3,-2,-2,-8,-5,-5,1034,1030,1020,1028,1021,1016,0,0,0
2015/1/24,6,1,-1,2,-6,-5,-3,1020,1031,1025,84,85,85,34,59,45,9,4,8,-8,-6,-5,-2,-3,-2,-9,-8,-5,1027,1034,1030,1015,1028,1021,0,0,0
2015/1/25,3,6,1,-1,-1,-6,-5,1010,1020,1031,85,84,85,35,34,59,14,9,4,-3,-8,-6,5,-2,-3,-4,-9,-8,1017,1027,1034,1005,1015,1028,0.76,0,0
2015/1/26,7,3,6,1,-1,-1,-6,1014,1010,1020,85,85,84,70,35,34,8,14,9,-1,-3,-8,3,5,-2,-3,-4,-9,1020,1017,1027,1005,1005,1015,0,0.76,0
2015/1/27,4,7,3,6,-1,-1,-1,1016,1014,1010,92,85,85,32,70,35,17,8,14,-2,-1,-3,2,3,5,-4,-3,-4,1019,1020,1017,1014,1005,1005,0,0,0.76
2015/1/28,9,4,7,3,-2,-1,-1,1019,1016,1014,92,92,85,36,32,70,15,17,8,-6,-2,-1,1,2,3,-8,-4,-3,1022,1019,1020,1015,1014,1005,0,0,0
2015/1/29,-1,9,4,7,0,-2,-1,1010,1019,1016,85,92,92,36,36,32,18,15,17,-1,-6,-2,2,1,2,-3,-8,-4,1016,1022,1019,1005,1015,1014,0,0,0
2015/1/30,-3,-1,9,4,-3,0,-2,1029,1010,1019,81,85,92,53,36,36,6,18,15,-7,-1,-6,0,2,1,-8,-3,-8,1036,1016,1022,1019,1005,1015,0,0,0
2015/1/31,2,-3,-1,9,-6,-3,0,1032,1029,1010,92,81,85,51,53,36,6,6,18,-12,-7,-1,-3,0,2,-13,-8,-3,1036,1036,1016,1026,1019,1005,0,0,0
2015/2/1,-8,2,-3,-1,0,-6,-3,1018,1032,1029,96,92,81,64,51,53,4,6,6,0,-12,-7,1,-3,0,-2,-13,-8,1025,1036,1036,1011,1026,1019,20.83,0,0
2015/2/2,-14,-8,2,-3,-10,0,-6,1018,1018,1032,92,96,92,73,64,51,0,4,6,-16,0,-12,-1,1,-3,-19,-2,-13,1031,1025,1036,1009,1011,1026,10.16,20.83,0
2015/2/3,-5,-14,-8,2,-17,-10,0,1026,1018,1018,92,92,96,73,73,64,-7,0,4,-22,-16,0,-11,-1,1,-24,-19,-2,1031,1031,1025,1019,1009,1011,0,10.16,20.83
2015/2/4,-14,-5,-14,-8,-8,-17,-10,1018,1026,1018,92,92,92,74,73,73,3,-7,0,-14,-22,-16,-1,-11,-1,-16,-24,-19,1022,1031,1031,1013,1019,1009,0,0,10.16
2015/2/5,-15,-14,-5,-14,-13,-8,-17,1029,1018,1026,91,92,92,61,74,73,-4,3,-7,-25,-14,-22,-8,-1,-11,-25,-16,-24,1037,1022,1031,1021,1013,1019,13.21,0,0
2015/2/6,1,-15,-14,-5,-17,-13,-8,1029,1029,1018,86,91,92,55,61,74,-3,-4,3,-27,-25,-14,-9,-8,-1,-28,-25,-16,1037,1037,1022,1021,1021,1013,0,13.21,0
2015/2/7,4,1,-15,-14,-3,-17,-13,1015,1029,1029,100,86,91,62,55,61,6,-3,-4,-6,-27,-25,0,-9,-8,-8,-28,-25,1020,1037,1037,1011,1021,1021,0,0,13.21
2015/2/8,8,4,1,-15,-1,-3,-17,1006,1015,1029,92,100,86,54,62,55,12,6,-3,-4,-6,-27,2,0,-9,-5,-8,-28,1010,1020,1037,1002,1011,1021,0,0,0
2015/2/9,2,8,4,1,2,-1,-3,1013,1006,1015,92,92,100,51,54,62,14,12,6,2,-4,-6,5,2,0,-1,-5,-8,1022,1010,1020,1003,1002,1011,0,0,0
2015/2/10,2,2,8,4,0,2,-1,1023,1013,1006,100,92,92,85,51,54,3,14,12,0,2,-4,2,5,2,-1,-1,-5,1026,1022,1010,1021,1003,1002,0,0,0
2015/2/11,-1,2,2,8,0,0,2,1018,1023,1013,100,100,92,79,85,51,5,3,14,-2,0,2,2,2,5,-2,-1,-1,1021,1026,1022,1014,1021,1003,0,0,0
2015/2/12,-9,-1,2,2,-7,0,0,1029,1018,1023,92,100,100,47,79,85,4,5,3,-6,-2,0,2,2,2,-11,-2,-1,1035,1021,1026,1021,1014,1021,0,0,0
2015/2/13,2,-9,-1,2,-16,-7,0,1035,1029,1018,69,92,100,51,47,79,-5,4,5,-14,-6,-2,-12,2,2,-18,-11,-2,1041,1035,1021,1027,1021,1014,0,0,0
2015/2/14,-3,2,-9,-1,-6,-16,-7,1023,1035,1029,82,69,92,41,51,47,12,-5,4,-9,-14,-6,-1,-12,2,-12,-18,-11,1027,1041,1035,1020,1027,1021,0,0,0
2015/2/15,-9,-3,2,-9,-12,-6,-16,1028,1023,1035,85,82,69,35,41,51,3,12,-5,-9,-9,-14,-2,-1,-12,-18,-12,-18,1034,1027,1041,1020,1020,1027,0,0,0
2015/2/16,-2,-9,-3,2,-17,-12,-6,1030,1028,1023,61,85,82,47,35,41,-7,3,12,-11,-9,-9,-16,-2,-1,-18,-18,-12,1033,1034,1027,1026,1020,1020,0,0,0
2015/2/17,-7,-2,-9,-3,-10,-17,-12,1022,1030,1028,78,61,85,48,47,35,3,-7,3,-8,-11,-9,-4,-16,-2,-16,-18,-18,1027,1033,1034,1019,1026,1020,0,0,0
2015/2/18,-12,-7,-2,-9,-11,-10,-17,1021,1022,1030,81,78,61,40,48,47,-2,3,-7,-11,-8,-11,-6,-4,-16,-17,-16,-18,1022,1027,1033,1019,1019,1026,0.51,0,0
2015/2/19,-11,-12,-7,-2,-19,-11,-10,1029,1021,1022,76,81,78,35,40,48,-7,-2,3,-17,-11,-8,-16,-6,-4,-21,-17,-16,1032,1022,1027,1021,1019,1019,0,0.51,0
2015/2/20,-3,-11,-12,-7,-15,-19,-11,1027,1029,1021,79,76,81,46,35,40,-5,-7,-2,-18,-17,-11,-12,-16,-6,-21,-21,-17,1033,1032,1022,1021,1021,1019,0.25,0,0.51
2015/2/21,-2,-3,-11,-12,-8,-15,-19,1014,1027,1029,83,79,76,48,46,35,6,-5,-7,-12,-18,-17,-3,-12,-16,-14,-21,-21,1020,1033,1032,1011,1021,1021,0,0.25,0
2015/2/22,-11,-2,-3,-11,-5,-8,-15,1020,1014,1027,92,83,79,57,48,46,4,6,-5,-8,-12,-18,-1,-3,-12,-16,-14,-21,1032,1020,1033,1013,1011,1021,0,0,0.25
2015/2/23,-12,-11,-2,-3,-19,-5,-8,1040,1020,1014,66,92,83,31,57,48,-6,4,6,-16,-8,-12,-16,-1,-3,-22,-16,-14,1046,1032,1020,1033,1013,1011,0,0,0
2015/2/24,1,-12,-11,-2,-19,-19,-5,1037,1040,1020,82,66,92,26,31,57,-3,-6,4,-21,-16,-8,-13,-16,-1,-23,-22,-16,1046,1046,1032,1025,1033,1013,0,0,0
2015/2/25,-2,1,-12,-11,-8,-19,-19,1016,1037,1040,75,82,66,33,26,31,10,-3,-6,-8,-21,-16,-5,-13,-16,-12,-23,-22,1024,1046,1046,1012,1025,1033,0,0,0
2015/2/26,-13,-2,1,-12,-6,-8,-19,1013,1016,1037,85,75,82,49,33,26,8,10,-3,-12,-8,-21,2,-5,-13,-16,-12,-23,1028,1024,1046,1007,1012,1025,1.27,0,0
2015/2/27,-13,-13,-2,1,-18,-6,-8,1034,1013,1016,83,85,75,51,49,33,-9,8,10,-18,-12,-8,-16,2,-5,-21,-16,-12,1039,1028,1024,1026,1007,1012,0,1.27,0
2015/2/28,-9,-13,-13,-2,-19,-18,-6,1037,1034,1013,86,83,85,39,51,49,-6,-9,8,-21,-18,-12,-17,-16,2,-24,-21,-16,1041,1039,1028,1035,1026,1007,0,0,1.27
2015/3/1,-1,-9,-13,-13,-12,-19,-18,1031,1037,1034,84,86,83,63,39,51,-4,-6,-9,-15,-21,-18,-8,-17,-16,-18,-24,-21,1035,1041,1039,1027,1035,1026,0.76,0,0
2015/3/2,0,-1,-9,-13,-9,-12,-19,1030,1031,1037,84,84,86,30,63,39,6,-4,-6,-8,-15,-21,-7,-8,-17,-11,-18,-24,1034,1035,1041,1027,1027,1035,0,0.76,0
2015/3/3,-2,0,-1,-9,-8,-9,-12,1025,1030,1031,77,84,84,36,30,63,6,6,-4,-7,-8,-15,-6,-7,-8,-10,-11,-18,1034,1034,1035,1012,1027,1027,0,0,0.76
2015/3/4,-7,-2,0,-1,-6,-8,-9,1011,1025,1030,100,77,84,32,36,30,3,6,6,-8,-7,-8,0,-6,-7,-15,-10,-11,1023,1034,1034,1004,1012,1027,0,0,0
2015/3/5,-8,-7,-2,0,-13,-6,-8,1027,1011,1025,88,100,77,28,32,36,0,3,6,-14,-8,-7,-10,0,-6,-19,-15,-10,1034,1023,1034,1023,1004,1012,0.76,0,0
2015/3/6,5,-8,-7,-2,-16,-13,-6,1033,1027,1011,83,88,100,29,28,32,2,0,3,-18,-14,-8,-11,-10,0,-22,-19,-15,1037,1034,1023,1027,1023,1004,0,0.76,0
2015/3/7,7,5,-8,-7,-9,-16,-13,1023,1033,1027,73,83,88,14,29,28,18,2,0,-8,-18,-14,-7,-11,-10,-11,-22,-19,1026,1037,1034,1021,1027,1023,0,0,0.76
2015/3/8,6,7,5,-8,-5,-9,-16,1023,1023,1033,74,73,83,21,14,29,18,18,2,-4,-8,-18,-2,-7,-11,-8,-11,-22,1025,1026,1037,1020,1021,1027,0,0,0
2015/3/9,5,6,7,5,-2,-5,-9,1020,1023,1023,81,74,73,33,21,14,15,18,18,-4,-4,-8,0,-2,-7,-6,-8,-11,1022,1025,1026,1018,1020,1021,0,0,0
2015/3/10,11,5,6,7,-5,-2,-5,1019,1020,1023,92,81,74,22,33,21,17,15,18,-7,-4,-4,1,0,-2,-7,-6,-8,1022,1022,1025,1015,1018,1020,0,0,0
2015/3/11,10,11,5,6,-2,-5,-2,1015,1019,1020,85,92,81,17,22,33,23,17,15,-3,-7,-4,2,1,0,-6,-7,-6,1020,1022,1022,1014,1015,1018,0,0,0
2015/3/12,14,10,11,5,-1,-2,-5,1024,1015,1019,92,85,92,22,17,22,22,23,17,-3,-3,-7,2,2,1,-4,-6,-7,1027,1020,1022,1021,1014,1015,0,0,0
2015/3/13,12,14,10,11,1,-1,-2,1022,1024,1015,76,92,85,23,22,17,25,22,23,2,-3,-3,4,2,2,-2,-4,-6,1025,1027,1020,1019,1021,1014,0,0,0
2015/3/14,11,12,14,10,0,1,-1,1021,1022,1024,76,76,92,21,23,22,24,25,22,-1,2,-3,2,4,2,-3,-2,-4,1024,1025,1027,1020,1019,1021,0,0,0
2015/3/15,15,11,12,14,-1,0,1,1025,1021,1022,89,76,76,19,21,23,21,24,25,1,-1,2,2,2,4,-4,-3,-2,1028,1024,1025,1023,1020,1019,0,0,0
2015/3/16,19,15,11,12,-4,-1,0,1020,1025,1021,59,89,76,10,19,21,27,21,24,2,1,-1,-2,2,2,-7,-4,-3,1024,1028,1024,1016,1023,1020,0,0,0
2015/3/17,6,19,15,11,0,-4,-1,1013,1020,1025,71,59,89,9,10,19,32,27,21,6,2,1,4,-2,2,-5,-7,-4,1023,1024,1028,1007,1016,1023,0,0,0
2015/3/18,5,6,19,15,-9,0,-4,1030,1013,1020,76,71,59,14,9,10,11,32,27,0,6,2,2,4,-2,-15,-5,-7,1034,1023,1024,1024,1007,1016,0,0,0
2015/3/19,5,5,6,19,-7,-9,0,1023,1030,1013,63,76,71,24,14,9,12,11,32,-3,0,6,-2,2,4,-9,-15,-5,1028,1034,1023,1019,1024,1007,0,0,0
2015/3/20,9,5,5,6,1,-7,-9,1020,1023,1030,92,63,76,54,24,14,11,12,11,-1,-3,0,2,-2,2,-2,-9,-15,1022,1028,1034,1017,1019,1024,0,0,0
2015/3/21,11,9,5,5,-3,1,-7,1020,1020,1023,96,92,63,16,54,24,24,11,12,-6,-1,-3,1,2,-2,-6,-2,-9,1023,1022,1028,1016,1017,1019,0,0,0
2015/3/22,12,11,9,5,1,-3,1,1020,1020,1020,89,96,92,27,16,54,20,24,11,1,-6,-1,2,1,2,-2,-6,-2,1024,1023,1022,1017,1016,1017,0,0,0
2015/3/23,6,12,11,9,1,1,-3,1015,1020,1020,92,89,96,23,27,16,24,20,24,-2,1,-6,6,2,1,-2,-2,-6,1018,1024,1023,1011,1017,1016,0,0,0
2015/3/24,3,6,12,11,-2,1,1,1021,1015,1020,82,92,89,44,23,27,12,24,20,-1,-2,1,0,6,2,-3,-2,-2,1023,1018,1024,1018,1011,1017,0,0,0
2015/3/25,3,3,6,12,1,-2,1,1014,1021,1015,92,82,92,62,44,23,5,12,24,1,-1,-2,2,0,6,-1,-3,-2,1018,1023,1018,1010,1018,1011,17.78,0,0
2015/3/26,2,3,3,6,1,1,-2,1019,1014,1021,100,92,82,53,62,44,8,5,12,-2,1,-1,3,2,0,-3,-1,-3,1025,1018,1023,1013,1010,1018,0,17.78,0
2015/3/27,-1,2,3,3,-2,1,1,1023,1019,1014,100,100,92,35,53,62,11,8,5,-7,-2,1,1,3,2,-8,-3,-1,1026,1025,1018,1020,1013,1010,1.02,0,17.78
2015/3/28,7,-1,2,3,-6,-2,1,1024,1023,1019,92,100,100,40,35,53,5,11,8,-6,-7,-2,-1,1,3,-8,-8,-3,1028,1026,1025,1020,1020,1013,0,1.02,0
2015/3/29,10,7,-1,2,-2,-6,-2,1019,1024,1023,78,92,100,40,40,35,14,5,11,-1,-6,-7,1,-1,1,-6,-8,-8,1022,1028,1026,1013,1020,1020,0,0,1.02
2015/3/30,13,10,7,-1,0,-2,-6,1016,1019,1024,82,78,92,20,40,40,18,14,5,1,-1,-6,4,1,-1,-6,-6,-8,1022,1022,1028,1010,1013,1020,0,0,0
2015/3/31,13,13,10,7,-2,0,-2,1017,1016,1019,70,82,78,16,20,40,26,18,14,-1,1,-1,1,4,1,-4,-6,-6,1022,1022,1022,1012,1010,1013,0,0,0
2015/4/1,20,13,13,10,0,-2,0,1014,1017,1016,82,70,82,17,16,20,26,26,18,1,-1,1,3,1,4,-1,-4,-6,1017,1022,1022,1010,1012,1010,0,0,0
2015/4/2,14,20,13,13,7,0,-2,1005,1014,1017,54,82,70,25,17,16,29,26,26,10,1,-1,12,3,1,1,-1,-4,1010,1017,1022,999,1010,1012,10.67,0,0
2015/4/3,6,14,20,13,4,7,0,1010,1005,1014,86,54,82,26,25,17,19,29,26,9,10,1,11,12,3,-2,1,-1,1015,1010,1017,1005,999,1010,2.29,10.67,0
2015/4/4,10,6,14,20,-4,4,7,1024,1010,1005,76,86,54,24,26,25,11,19,29,1,9,10,2,11,12,-9,-2,1,1028,1015,1010,1016,1005,999,1.02,2.29,10.67
2015/4/5,14,10,6,14,-4,-4,4,1023,1024,1010,70,76,86,16,24,26,19,11,19,0,1,9,-1,2,11,-7,-9,-2,1028,1028,1015,1016,1016,1005,0,1.02,2.29
2015/4/6,12,14,10,6,1,-4,-4,1011,1023,1024,86,70,76,28,16,24,22,19,11,7,0,1,8,-1,2,-5,-7,-9,1016,1028,1028,1007,1016,1016,0,0,1.02
2015/4/7,9,12,14,10,10,1,-4,1009,1011,1023,100,86,70,80,28,16,14,22,19,11,7,0,11,8,-1,8,-5,-7,1012,1016,1028,1007,1007,1016,0,0,0
2015/4/8,7,9,12,14,10,10,1,1011,1009,1011,100,100,86,86,80,28,12,14,22,7,11,7,11,11,8,6,8,-5,1015,1012,1016,1008,1007,1007,0.76,0,0
2015/4/9,6,7,9,12,6,10,10,1011,1011,1009,100,100,100,86,86,80,9,12,14,6,7,11,8,11,11,5,6,8,1015,1015,1012,1005,1008,1007,0.51,0.76,0
2015/4/10,12,6,7,9,6,6,10,1007,1011,1011,100,100,100,76,86,86,8,9,12,3,6,7,8,8,11,2,5,6,1017,1015,1015,1002,1005,1008,3.56,0.51,0.76
2015/4/11,14,12,6,7,1,6,6,1020,1007,1011,70,100,100,28,76,86,20,8,9,4,3,6,3,8,8,-1,2,5,1022,1017,1015,1018,1002,1005,0,3.56,0.51
2015/4/12,17,14,12,6,3,1,6,1017,1020,1007,76,70,100,23,28,76,24,20,8,5,4,3,6,3,8,2,-1,2,1021,1022,1017,1012,1018,1002,0,0,3.56
2015/4/13,13,17,14,12,10,3,1,1009,1017,1020,80,76,70,40,23,28,26,24,20,9,5,4,14,6,3,4,2,-1,1015,1021,1022,1004,1012,1018,3.81,0,0
2015/4/14,13,13,17,14,-1,10,3,1022,1009,1017,70,80,76,20,40,23,21,26,24,5,9,5,3,14,6,-5,4,2,1025,1015,1021,1015,1004,1012,0,3.81,0
2015/4/15,14,13,13,17,0,-1,10,1023,1022,1009,82,70,80,22,20,40,22,21,26,4,5,9,3,3,14,-2,-5,4,1025,1025,1015,1019,1015,1004,0,0,3.81
2015/4/16,15,14,13,13,6,0,-1,1016,1023,1022,77,82,70,41,22,20,18,22,21,9,4,5,9,3,3,-1,-2,-5,1019,1025,1025,1014,1019,1015,0,0,0
2015/4/17,18,15,14,13,10,6,0,1017,1016,1023,86,77,82,49,41,22,23,18,22,7,9,4,12,9,3,7,-1,-2,1019,1019,1025,1016,1014,1019,0,0,0
2015/4/18,17,18,15,14,12,10,6,1017,1017,1016,86,86,77,49,49,41,23,23,18,13,7,9,14,12,9,11,7,-1,1020,1019,1019,1014,1016,1014,0.51,0,0
2015/4/19,11,17,18,15,14,12,10,1012,1017,1017,90,86,86,68,49,49,19,23,23,14,13,7,16,14,12,11,11,7,1014,1020,1019,1008,1014,1016,15.75,0.51,0
2015/4/20,10,11,17,18,8,14,12,1008,1012,1017,93,90,86,43,68,49,14,19,23,8,14,13,11,16,14,0,11,11,1009,1014,1020,1007,1008,1014,4.06,15.75,0.51
2015/4/21,12,10,11,17,-3,8,14,1010,1008,1012,76,93,90,19,43,68,16,14,19,4,8,14,1,11,16,-8,0,11,1012,1009,1014,1009,1007,1008,0,4.06,15.75
2015/4/22,6,12,10,11,-2,-3,8,1011,1010,1008,62,76,93,22,19,43,21,16,14,3,4,8,2,1,11,-4,-8,0,1015,1012,1009,1007,1009,1007,0,0,4.06
2015/4/23,9,6,12,10,-5,-2,-3,1018,1011,1010,75,62,76,24,22,19,14,21,16,-3,3,4,-1,2,1,-9,-4,-8,1021,1015,1012,1016,1007,1009,0,0,0
2015/4/24,16,9,6,12,-1,-5,-2,1016,1018,1011,92,75,62,28,24,22,20,14,21,-1,-3,3,1,-1,2,-3,-9,-4,1020,1021,1015,1012,1016,1007,0,0,0
2015/4/25,12,16,9,6,8,-1,-5,1006,1016,1018,86,92,75,43,28,24,19,20,14,13,-1,-3,13,1,-1,1,-3,-9,1012,1020,1021,999,1012,1016,0.76,0,0
2015/4/26,11,12,16,9,9,8,-1,1004,1006,1016,96,86,92,77,43,28,13,19,20,9,13,-1,12,13,1,7,1,-3,1012,1012,1020,996,999,1012,6.86,0.76,0
2015/4/27,11,11,12,16,4,9,8,1016,1004,1006,86,96,86,36,77,43,18,13,19,4,9,13,7,12,13,2,7,1,1020,1012,1012,1013,996,999,0,6.86,0.76
2015/4/28,12,11,11,12,1,4,9,1022,1016,1004,89,86,96,26,36,77,20,18,13,1,4,9,4,7,12,-1,2,7,1023,1020,1012,1019,1013,996,0,0,6.86
2015/4/29,13,12,11,11,4,1,4,1022,1022,1016,85,89,86,28,26,36,23,20,18,2,1,4,7,4,7,1,-1,2,1024,1023,1020,1019,1019,1013,0,0,0
2015/4/30,14,13,12,11,4,4,1,1017,1022,1022,92,85,89,27,28,26,23,23,20,3,2,1,7,7,4,1,1,-1,1019,1024,1023,1014,1019,1019,0,0,0
2015/5/1,17,14,13,12,2,4,4,1016,1017,1022,85,92,85,19,27,28,25,23,23,2,3,2,4,7,7,-1,1,1,1018,1019,1024,1015,1014,1019,0,0,0
2015/5/2,21,17,14,13,6,2,4,1017,1016,1017,67,85,92,35,19,27,24,25,23,10,2,3,11,4,7,1,-1,1,1019,1018,1019,1014,1015,1014,0.25,0,0
2015/5/3,22,21,17,14,12,6,2,1012,1017,1016,87,67,85,34,35,19,29,24,25,13,10,2,14,11,4,8,1,-1,1015,1019,1018,1006,1014,1015,1.78,0.25,0
2015/5/4,16,22,21,17,14,12,6,1008,1012,1017,78,87,67,45,34,35,29,29,24,16,13,10,19,14,11,11,8,1,1010,1015,1019,1006,1006,1014,7.62,1.78,0.25
2015/5/5,21,16,22,21,12,14,12,1016,1008,1012,90,78,87,72,45,34,18,29,29,13,16,13,14,19,14,10,11,8,1019,1010,1015,1011,1006,1006,3.3,7.62,1.78
2015/5/6,19,21,16,22,15,12,14,1016,1016,1008,97,90,78,49,72,45,26,18,29,15,13,16,17,14,19,12,10,11,1019,1019,1010,1013,1011,1006,1.02,3.3,7.62
2015/5/7,19,19,21,16,16,15,12,1008,1016,1016,93,97,90,73,49,72,22,26,18,16,15,13,17,17,14,14,12,10,1013,1019,1019,1004,1013,1011,75.18,1.02,3.3
2015/5/8,13,19,19,21,15,16,15,1008,1008,1016,97,93,97,53,73,49,24,22,26,14,16,15,17,17,17,11,14,12,1014,1013,1019,1005,1004,1013,95.76,75.18,1.02
2015/5/9,16,13,19,19,9,15,16,1017,1008,1008,83,97,93,67,53,73,16,24,22,11,14,16,11,17,17,8,11,14,1019,1014,1013,1014,1005,1004,0,95.76,75.18
2015/5/10,15,16,13,19,11,9,15,1016,1017,1008,89,83,97,67,67,53,21,16,24,11,11,14,16,11,17,7,8,11,1019,1019,1014,1010,1014,1005,0,0,95.76
2015/5/11,9,15,16,13,15,11,9,1008,1016,1017,100,89,83,52,67,67,22,21,16,8,11,11,17,16,11,3,7,8,1013,1019,1019,1006,1010,1014,22.86,0,0
2015/5/12,13,9,15,16,2,15,11,1016,1008,1016,76,100,89,50,52,67,13,22,21,6,8,11,3,17,16,0,3,7,1022,1013,1019,1012,1006,1010,0,22.86,0
2015/5/13,16,13,9,15,3,2,15,1024,1016,1008,76,76,100,31,50,52,21,13,22,6,6,8,6,3,17,1,0,3,1027,1022,1013,1022,1012,1006,0,0,22.86
2015/5/14,17,16,13,9,8,3,2,1021,1024,1016,93,76,76,38,31,50,22,21,13,8,6,6,12,6,3,6,1,0,1024,1027,1022,1019,1022,1012,11.68,0,0
2015/5/15,17,17,16,13,14,8,3,1013,1021,1024,100,93,76,66,38,31,21,22,21,12,8,6,16,12,6,11,6,1,1017,1024,1027,1012,1019,1022,10.67,11.68,0
2015/5/16,22,17,17,16,14,14,8,1012,1013,1021,100,100,93,61,66,38,23,21,22,12,12,8,17,16,12,11,11,6,1015,1017,1024,1009,1012,1019,23.88,10.67,11.68
